Date,Open,High,Low,Close,Volume
2021-03-01,123.01883457133626,127.17413773134075,122.06450755265848,127.03496551513672,116307900
2021-03-02,127.6512994100545,127.95946536317264,124.27138662758429,124.3807373046875,102260900
2021-03-03,124.07257338192434,124.96725736195592,121.12012003997873,121.33882141113281,112966300
2021-03-04,121.03065825233703,122.86972628591974,117.91915412166611,119.42022705078125,178155000
2021-03-05,120.26520343120076,121.21953044380001,116.87534748190996,120.70259857177734,153766600
2021-03-08,120.21549104601121,120.28507715090767,115.52337773208845,115.67249298095703,154376600
2021-03-09,118.32672356842664,121.33881994452854,118.08814370474097,120.37454986572266,129525800
2021-03-10,120.97100621821426,121.44816592711312,118.74423562896342,119.27111053466797,111943300
2021-03-11,121.81598534755436,122.48202489807952,120.54354931541167,121.23941040039062,103026500
2021-03-12,119.6886282913926,120.45407547436284,118.45595685021382,120.31490325927734,88105100
2021-03-15,120.69267266965271,123.26736644113629,119.7085164607447,123.2574234008789,92403800
2021-03-16,124.9573007612061,126.46832411556964,123.98309532092102,124.82807159423828,115227900
2021-03-17,123.3170687830724,125.11637219249812,121.6171654346985,124.02287292480469,111932600
2021-03-18,122.1539695098661,122.45220001488242,119.60909751517623,119.81785583496094,121229700
2021-03-19,119.19158703020776,120.71254599883056,118.97288565981178,119.28105163574219,185549500
2021-03-22,119.61904702119918,123.13813228277914,119.5494609108424,122.66096496582031,111912300
2021-03-23,122.60131991424724,123.505939334268,121.41834847297993,121.81598663330078,95467100
2021-03-24,122.09432838612487,122.1738575333041,119.3605765224535,119.38045501708984,88530500
2021-03-25,118.83370324870242,120.94118003759577,118.29689290857912,119.87749481201172,98844700
2021-03-26,119.63892368768913,120.7622520603986,118.21737238271686,120.49384307861328,94071200
2021-03-29,120.9312488465125,121.85575436991456,120.01668636306367,120.67278289794922,80819200
2021-03-30,119.40034769010552,119.68863517631364,118.15773313799329,119.19158935546875,85671900
2021-03-31,120.93123791909949,122.79018425356416,120.43419214679271,121.42828369140625,118323800
2021-04-01,122.92937376510307,123.44629807206633,121.76628080188065,122.27326965332031,75089100
2021-04-05,123.13813079873873,125.4146015019996,122.342854474831,125.15613555908203,88651200
2021-04-06,125.75258954201688,126.37886453033046,124.9076131844873,125.46430206298828,80171300
2021-04-07,125.08654831071763,127.16419612192713,124.40062267720012,127.14431762695312,83466700
2021-04-08,128.18812499987305,129.619619511914,127.76067283875203,129.5897979736328,88844600
2021-04-09,129.03308252811686,132.25392934994395,128.70503050577653,132.21417236328125,106686700
2021-04-12,131.73703576642893,132.06508784625873,129.85820306822936,130.464599609375,91420000
2021-04-13,131.65749434639488,133.8643789188489,131.1504979208694,133.63572692871094,91266500
2021-04-14,134.1427185492449,134.20236161631524,130.88209942124288,131.24990844726562,87222800
2021-04-15,133.02933206648106,134.20235275779072,132.85038770844844,133.70530700683594,89347100
2021-04-16,133.50651231285838,133.87432137128002,132.4925345774447,133.36734008789062,84922400
2021-04-19,132.7211759355633,134.66960232017178,132.55218216867223,134.04331970214844,94264200
2021-04-20,134.22225068118772,134.72923193119888,131.03121000422593,132.3235321044922,94812300
2021-04-21,131.57796360983963,132.9597503147768,130.52422895021422,132.7112274169922,68847100
2021-04-22,132.2539531954403,133.35739559003372,130.63359403786717,131.16046142578125,84566500
2021-04-23,131.3791410872559,134.32164354047939,131.3791410872559,133.52638244628906,78657500
2021-04-26,134.0333771760235,134.26201400521188,132.77087655038966,133.9240264892578,66905100
2021-04-27,134.21229443019038,134.60994015055675,133.31761810447423,133.59596252441406,66015800
2021-04-28,133.51643883804735,134.2222505401531,132.29371043128535,132.79075622558594,107760100
2021-04-29,135.66368461990007,136.26014565946377,131.66743205954575,132.69134521484375,151101000
2021-04-30,131.00138999892832,132.77087183565845,130.29559345647752,130.68328857421875,109839500
2021-05-03,131.25983596017747,133.27785567529966,131.0510852380621,131.7568817138672,75135100
2021-05-04,130.4148820767872,130.7131125965644,125.95140524152569,127.09461212158203,137564700
2021-05-05,128.43663130400247,129.67924580030405,127.21390288685927,127.3431396484375,84000900
2021-05-06,127.13437417868894,128.98338516232778,126.37886243871509,128.97344970703125,78128300
2021-05-07,130.29783639665902,130.70609470318212,128.93360728313877,129.66053771972656,78973300
2021-05-10,128.86391491520257,128.99335600457735,126.27488040611428,126.31471252441406,88071200
2021-05-11,122.97885113840427,125.7371588697528,122.25192827068871,125.3786849975586,126142800
2021-05-12,122.87927661694518,124.11404192182731,121.7341278822529,122.2519302368164,112172300
2021-05-13,124.05429618034772,125.61767075316963,123.73564682783623,124.4426498413086,105861300
2021-05-14,125.71723733182257,127.35031608423824,125.31892377331161,126.91217041015625,81918000
2021-05-17,126.28483420313873,126.39437062384461,124.64179548975,125.73715209960938,74244600
2021-05-18,126.02593378544601,126.45411955530363,124.25344632791438,124.32315063476562,63342900
2021-05-19,122.64028361587629,124.39285116266622,122.34154654004648,124.16382598876953,92612000
2021-05-20,124.70155671832717,127.18104726782717,124.57210043123041,126.77277374267578,76857100
2021-05-21,127.28061736016451,127.45985808949085,124.68163058353252,124.90070343017578,79295400
2021-05-24,125.47826291577121,127.40011897175755,125.4085586068888,126.56365966796875,63092900
2021-05-25,127.28061786343767,127.77851553326802,125.78694764554541,126.364501953125,72009500
2021-05-26,126.42424895043857,126.85243472566165,125.88652674919098,126.31471252441406,56575900
2021-05-27,125.9064437569913,127.10137689013824,124.55218215425167,124.75133514404297,94625600
2021-05-28,125.04011553114957,125.26914831281258,124.02442310142612,124.08416748046875,71311100
2021-06-01,124.5521890261297,124.82104633690149,123.41700020784882,123.75556182861328,67637100
2021-06-02,123.7555573981603,124.71150544263702,123.52653221518345,124.53226470947266,59278900
2021-06-03,124.15387318498486,124.32315399230966,122.61041086662384,123.01868438720703,76229200
2021-06-04,123.54644504791443,125.62762954802925,123.32737219556553,125.3587646484375,75169300
2021-06-07,125.63757830303888,125.7869468433154,124.30323656355428,125.36872100830078,71057600
2021-06-08,126.0657686903443,127.917928021625,125.67741502970152,126.2051773071289,74403800
2021-06-09,126.673192983524,127.21091518049101,125.98610224342175,126.5935287475586,56877900
2021-06-10,126.48399106722304,127.64905961435636,125.40855428116096,125.57783508300781,71186400
